ID,Text,Label,,,,,,,,
1674724180087160832,[USER] kodrat wanita itu bukan di bawah cowok tapi JADI PERTNERNYA cowok. Tau knp hawa diciptakan dari tulang rusuk Nabi Adam? 1. Jadi partner di sisi cowok. 2. Krn tulang rusuk kalo patah bisa nusuk paru paru. Jadi laki laki harus mikir 2 kali buat ngerusak wanita.,Benevolent Misogyny,,,,,,,,
1674712089779392513,"[USER] kodrat wanita itu hanya hamil, melahirkan dan menyusui ya bukan kodratnya untuk ditindas semena-mena sama lelaki ngga bener kek gitu wei, rasanya pingin aku getok pala si lakinya 😠",Non-Misogyny,,,,,,,,
1674686361641811968,"[USER] Benci bgt sm kata2, ""Itu udah kodrat km sbg wanita/pria."" Ketinggalan jaman bgt anda. Anda hidup di jaman mana? Penjajahan kh? Jaman dulu cewek memang lemah, gbs hidup diluar sendirian. Jaman skrg dmn dunia tanpa peperangan, kita hidup pake otak, memungkinan-",Non-Misogyny,,,,,,,,
1674673224532258817,"[USER] kodrat wanita itu menstruasi, mengandung, melahirkan, menyusui. kalau diterusin ini namanya bunuh diri. tolong bilang sama temanmu nder, tolak laki-laki seperti itu adalah bentuk self respect. selamatkan dirimu sendiri karena cuma kamu yang bisa bukan orang lain. RUNNN!",Non-Misogyny,,,,,,,,
1674459705358569472,"[USER] [USER] Emg tuk beribadah ada panitia nya gitu, pasti semua sdh [URL] kaum adam dan hawa ada batas"" nya/ bgi wanita jdi makmum pling blkg, itu aja tmn nya yg tahu gk ngsih arahan, klo mau beribadah itu hrs sesuai kodrat nya dulu, stlh selesai terserah mo apa ke hiii",Non-Misogyny,,,,,,,,
1674382512934748161,[USER] Klo urusan cantik itu sudah kodrat nya wanita Klo setia itu baru luar biasa,Benevolent Misogyny,,,,,,,,
1672232057542680577,jelas lah! pasti pria akan selalu menang. kenapa sih liberal2 ini gk paham kodrat? mau bagaimana pun ya pria diciptakan Tuhan lebih superior dibanding wanita!,Hostile Misogyny,,,,,,,,
1671941704352673793,Kodrat wanita....,Non-Misogyny,,,,,,,,
1669833896714960897,"[USER] Asal dia bahagia sih gak masalah, jangan cm menghibur diri dgn bawa2 jargon 'kodrat wanita'",Non-Misogyny,,,,,,,,
1666474902348795906,"[USER] [USER] Nah bener🙄 harkat martabat wanita yg mana yg diangakat ini? Dia gak mencerminkan wanita apalagi seorang istri! GAK sama sekali! Semarah marah nya seorang istri, Dia msh menghormati suamianya! Masih tau kodrat nya dimana! Sedangkan novia? ANCUR!!🥲 YAH MUNGKIN DONNA BUTUH TIUD🙄",Benevolent Misogyny,,,,,,,,
1665711750728282114,"[USER] [USER] Siapa bilang Perilaku LGBT tidak DOSA...?? Perilaku LGBT itu sangat bertentangan dengan Kodrat yg di ciptakan Allah. Allah Hanya menciptakan Pria dan wanita , Lain tidak...!! Lalu protes..?? Kami kan terlahir apa adanya dari rahim ibu kami..?? KAMI DI CIPTAKAN ALLAH DIDALAM",Non-Misogyny,,,,,,,,
1664773840722079744,"[USER] Ya krn mereka normal di kehidupan luar panggung. Mrk menghargai kodrat mrk sbg lelaki. Sbenernya serah lu pada mau jd bencong kek gmn, tp ya tunjukin karya klo lu mau dihargai. Mrk ga ada lo satu pun yg perlu validasi bahwa mereka wanita dan bersaing diantara wanita🤣",Non-Misogyny,,,,,,,,
1664583466078593025,[USER] [USER] semisal bayi tabung pun dia ttp ada keinginan hamil yg mana hamil tuh kodrat wanita:'),Benevolent Misogyny,,,,,,,,
1664258728873414660,"[USER] [USER] Gila kali, agak Laen nih orang, ga mikir dulu apa sebelum nulis yg begini, Tuhan menciptakan manusia berpasangan, pria dan wanita, bukan pria pria, wanita wanita, mau mengingkari kodrat Tuhan? Maaf ya kita ga mau kena azab gegara perbuatan kaya begini.",Non-Misogyny,,,,,,,,
1663695903998513153,[USER] Ada Pria ada Wanita.. Wajar Bila Saling CINTA.. Yg Tak Elok.. Cinta sesama Wanita.. Cinta sesama Pria.. 👉Itu Melanggar.. Kodrat Otoritas.. Kelamin.. Ke Duanya. Xixixixi🤣🤣🤣🤣🤣🤣.,Non-Misogyny,,,,,,,,
1663171176724832256,"Kodrat wanita itu bisa hamil, bisa melahirkan, bisa menyusui, bisa haid. Kodrat pria itu memilik sperma. Sesuatu yang saklek yang gak bisa digantikan. Bukan perkara siapa yang ngambil keputusan..",Non-Misogyny,,,,,,,,
